entity,entityLabel,lat,lng,type,Neolith,Chalcolithic,Eearly Bronze,Middle Bronze,Late Bronze,Early Iron,Late Iron,Helenistic,Roman,Byzantine,Early Muslim,Crusaders,Ottoman,Modern
https://timna-database.wikibase.cloud/entity/Q1071,Site_786,34.946404,29.772313,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q708,Site_768,34.94368353,29.76673226,Cairn,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q1750,Site_900,34.98083333,29.795,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q1787,Site_911,34.9725,29.7925,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q707,Site_767,34.94097421,29.75102104,Cairn,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q707,Site_767,34.94097421,29.75102104,Predator_Trap,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q709,Site_769,34.94208774,29.76408591,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q704,Site_761,34.93010148,29.78403442,Mining_Field_Placer,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q714,Site_770,34.9441751,29.76456815,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q1179,Site_M104,34.987715,29.806953,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q687,Site_740,34.98271471,29.80986135,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q709,Site_769,34.94208774,29.76408591,Tumulus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q1664,Site_909,34.98057306,29.80253167,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q669,Site_725,34.98959414,29.80481186,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q714,Site_770,34.9441751,29.76456815,Tumulus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
https://timna-database.wikibase.cloud/entity/Q1751,Site_901,34.98083333,29.79166667,Stone_Feature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
